n001,n005,n009,n030,n070,n100,n500,n900
1.073456247,1.270944132,1.512950236,2.759114732,4.297679572,4.903625489,8.568384231,9.83393438
1.072211019,1.265450627,1.511063022,2.738232456,4.222903433,4.979200297,8.597202413,9.655123238
1.074785915,1.259036775,1.532980771,2.752994262,4.261744295,4.855204876,8.545742323,9.647763938
1.079106939,1.264374039,1.521832699,2.732403132,4.178613669,4.939330617,8.40925626,9.70279116
1.075157845,1.26901545,1.511597873,2.706544709,4.295031723,4.923989035,8.389158089,9.67975442
1.080857051,1.259742162,1.508327649,2.705460815,4.272148363,4.990326191,8.443852027,9.689539654
1.075704905,1.259860055,1.565872646,2.733100704,4.266436383,4.964094735,8.425650774,9.778792748
1.07756972,1.267799104,1.520336804,2.72450733,4.2941164,4.928122166,8.57079631,9.835588602
1.076021184,1.264720574,1.503758092,2.758906585,4.18896687,5.021037665,8.447503827,9.708041309
1.073345791,1.273279722,1.51994168,2.728044818,4.268770344,4.915093205,8.519502355,9.678066475
