vN1vS1ouS1ouT1,vN1vS1ouS1ouT2,vN1vS1ouS1ouT3,vN1vS1ouS1ouT4,vN1vS1ouS2ouT1,vN1vS1ouS2ouT2,vN1vS1ouS2ouT3,vN1vS1ouS2ouT4,vN1vS1ouS3ouT1,vN1vS1ouS3ouT2,vN1vS1ouS3ouT3,vN1vS1ouS3ouT4,vN1vS1ouS4ouT1,vN1vS1ouS4ouT2,vN1vS1ouS4ouT3,vN1vS1ouS4ouT4,vN1vS2ouS1ouT1,vN1vS2ouS1ouT2,vN1vS2ouS1ouT3,vN1vS2ouS1ouT4,vN1vS2ouS2ouT1,vN1vS2ouS2ouT2,vN1vS2ouS2ouT3,vN1vS2ouS2ouT4,vN1vS2ouS3ouT1,vN1vS2ouS3ouT2,vN1vS2ouS3ouT3,vN1vS2ouS3ouT4,vN1vS2ouS4ouT1,vN1vS2ouS4ouT2,vN1vS2ouS4ouT3,vN1vS2ouS4ouT4,vN2vS1ouS1ouT1,vN2vS1ouS1ouT2,vN2vS1ouS1ouT3,vN2vS1ouS1ouT4,vN2vS1ouS2ouT1,vN2vS1ouS2ouT2,vN2vS1ouS2ouT3,vN2vS1ouS2ouT4,vN2vS1ouS3ouT1,vN2vS1ouS3ouT2,vN2vS1ouS3ouT3,vN2vS1ouS3ouT4,vN2vS1ouS4ouT1,vN2vS1ouS4ouT2,vN2vS1ouS4ouT3,vN2vS1ouS4ouT4,vN2vS2ouS1ouT1,vN2vS2ouS1ouT2,vN2vS2ouS1ouT3,vN2vS2ouS1ouT4,vN2vS2ouS2ouT1,vN2vS2ouS2ouT2,vN2vS2ouS2ouT3,vN2vS2ouS2ouT4,vN2vS2ouS3ouT1,vN2vS2ouS3ouT2,vN2vS2ouS3ouT3,vN2vS2ouS3ouT4,vN2vS2ouS4ouT1,vN2vS2ouS4ouT2,vN2vS2ouS4ouT3,vN2vS2ouS4ouT4
1.04087,1.02079,0.94757,1.06826,0.02149,0.14989,0.22754,0.28074,0.03008,0.23177,0.34852,0.35642,0.03875,0.29596,0.39415,0.44239,0.99782,0.95877,1.03021,0.98309,1.05313,1.1734,1.00418,1.0156,1.09126,1.11674,1.15408,1.15485,0.92548,1.05766,1.18269,1.17763,0.36147,0.29925,0.31044,0.26402,0.33586,0.37727,0.40455,0.39862,0.35714,0.41661,0.42141,0.47864,0.36284,0.4353,0.47433,0.50106,2.55199,2.36095,2.52191,2.57692,2.41355,2.97005,2.66528,2.96728,3.11282,2.81119,2.90148,3.44138,2.67854,2.83884,3.62271,3.79122
0.93508,0.96828,1.00594,1.0554,0.02518,0.16025,0.2228,0.24976,0.03,0.23001,0.34274,0.35717,0.03906,0.30118,0.35903,0.46859,1.00527,0.89157,0.97807,1.01942,1.01289,0.99108,1.19377,1.10636,1.036,1.10038,1.08919,1.02562,1.06167,1.10839,1.10582,1.21107,0.34866,0.32095,0.30697,0.30093,0.35038,0.37258,0.40692,0.35911,0.35555,0.39919,0.42125,0.47596,0.34875,0.46457,0.46747,0.49098,2.60096,2.56852,2.58784,2.26293,2.30649,2.67058,2.73229,2.49019,2.56638,2.5297,3.29422,2.9542,2.85619,3.16137,3.60608,3.48573
1.03493,0.93609,1.05899,0.9483,0.02575,0.14943,0.24186,0.27119,0.03588,0.23211,0.32168,0.40283,0.04042,0.28344,0.37438,0.44097,1.00457,1.04252,1.02925,1.09597,1.01792,1.01367,1.14346,1.0921,0.99232,1.05087,1.12,1.1072,0.99198,1.09241,1.03233,1.12628,0.3704,0.32701,0.30843,0.27112,0.3595,0.38305,0.36093,0.37467,0.32956,0.37216,0.42452,0.45724,0.32687,0.44351,0.45468,0.50591,3.45684,2.26695,2.69575,2.11332,2.82583,2.51735,2.70036,2.69505,2.88613,2.98538,3.45778,3.56034,2.91427,3.51132,3.51746,3.26182
0.97222,0.98864,1.04378,1.0113,0.02568,0.13443,0.23357,0.27499,0.03497,0.23005,0.3251,0.37136,0.03589,0.29509,0.36122,0.42211,1.02018,0.99935,1.08285,1.0185,1.11761,1.10819,1.06597,1.13212,1.06248,1.02666,1.14217,0.97832,1.09485,1.09711,1.15834,1.22425,0.35609,0.33759,0.30646,0.28694,0.37681,0.39572,0.34003,0.40942,0.33896,0.39399,0.44128,0.45974,0.34799,0.45023,0.48871,0.4726,2.4079,2.45108,2.31401,2.14394,2.70763,2.53822,2.8273,2.77818,2.57593,2.77261,3.10168,2.93568,2.93202,3.00759,3.18937,3.273
0.94677,0.97039,0.97908,1.02959,0.02186,0.14017,0.22146,0.2604,0.03475,0.2102,0.31345,0.39088,0.04589,0.28381,0.3874,0.44619,0.95551,0.9481,0.94867,1.01004,0.99542,1.05013,1.11248,1.07987,0.99064,1.09188,1.1569,1.13115,1.08293,1.0743,0.96462,1.07137,0.38052,0.34629,0.30605,0.28086,0.34991,0.36659,0.39838,0.38653,0.36259,0.41589,0.45194,0.47578,0.38871,0.43075,0.49136,0.52545,2.86667,2.17676,2.3814,2.28846,2.79699,2.89316,2.98002,2.654,2.50702,2.83564,2.98206,2.70768,2.72021,2.96681,3.61962,3.33674
0.99602,1.01175,0.94386,1.02845,0.02376,0.15277,0.20581,0.28031,0.03442,0.23926,0.32641,0.38294,0.04923,0.30039,0.40595,0.44933,1.00726,0.98599,1.03386,0.99762,0.93659,1.08501,1.0901,1.04413,1.00311,1.09256,1.05319,1.28554,1.00237,1.03412,1.16851,1.19017,0.35187,0.35387,0.31605,0.27539,0.37808,0.40693,0.39511,0.39535,0.35575,0.40634,0.42343,0.43323,0.34257,0.41294,0.5081,0.5056,2.823,2.88629,2.15467,2.46197,2.56254,2.96046,2.66794,2.92512,2.60626,2.89282,2.92788,2.62887,2.70072,2.76889,3.66297,3.14954
0.98685,1.02911,0.96835,1.02199,0.02638,0.13641,0.20605,0.25889,0.03643,0.23943,0.32116,0.37929,0.04187,0.28663,0.42581,0.42624,0.98208,1.08473,0.99108,0.89572,1.04113,1.03538,1.10668,1.06223,0.96257,1.07378,1.05456,1.111,1.11099,1.16815,1.18185,1.26406,0.38056,0.33722,0.32114,0.28414,0.39004,0.35432,0.35569,0.41192,0.35298,0.41157,0.45423,0.46501,0.36066,0.42152,0.49871,0.51118,2.87954,2.3547,2.24534,2.35017,2.86174,2.84508,2.92769,2.95493,2.27426,2.55937,3.13597,2.99155,2.63149,3.23822,3.09707,3.29615
0.99345,1.01751,1.07311,0.97655,0.02706,0.14217,0.22332,0.2624,0.03326,0.23538,0.32552,0.39441,0.04224,0.31371,0.39318,0.45235,1.05033,1.09544,1.05505,1.00486,1.00561,1.08785,1.02001,1.09784,0.97979,1.03144,1.05013,1.16041,0.95984,1.11798,1.12676,1.1601,0.37031,0.34813,0.33992,0.25673,0.36011,0.40033,0.37854,0.43128,0.37256,0.40354,0.39556,0.46412,0.35529,0.44834,0.4956,0.46611,2.73524,2.57316,2.48213,2.36478,2.5533,2.55194,2.7022,2.60003,2.84142,3.02413,2.94677,3.30717,2.7083,2.67158,3.39388,3.54177
0.95825,0.95283,1.01449,0.9915,0.0263,0.13344,0.21082,0.27484,0.03594,0.22489,0.32293,0.37381,0.04015,0.29449,0.35962,0.44519,0.96541,0.97038,1.05523,1.01995,1.0093,1.06221,1.0972,1.07784,1.08908,1.12837,1.12104,1.15561,0.9574,1.04119,1.1558,1.13403,0.35289,0.34052,0.30061,0.28392,0.35262,0.36173,0.38005,0.42107,0.33536,0.39515,0.46207,0.47673,0.35039,0.42858,0.46837,0.46933,2.73433,2.62786,2.65659,2.19402,2.45582,2.76578,2.51766,2.5536,2.71397,2.81195,3.1792,2.84276,2.72166,3.13373,3.04978,3.62754
0.99627,0.99015,0.99449,1.02648,0.02309,0.14784,0.21511,0.2858,0.03206,0.22286,0.32128,0.36317,0.04067,0.29749,0.36307,0.44046,1.09113,0.96959,1.07541,1.04229,1.06942,1.04325,1.02724,1.12317,1.01564,1.0903,1.1324,1.03581,0.98977,1.05377,1.16678,1.12213,0.35356,0.34142,0.31146,0.28814,0.35436,0.37887,0.37382,0.39785,0.36178,0.40475,0.42981,0.46611,0.35102,0.44276,0.47248,0.48167,2.91089,2.50995,2.56359,2.03951,2.52782,3.44274,2.65633,2.38073,2.55203,2.46599,2.98982,3.10238,2.73343,2.88082,3.21278,2.88133
